ITS2 type profile UID		1408716	1409220	1408987	1409218	1409219	1408676	1409209	1409083	1409525	1409498	1410146	1411585	1413927	1415161
Clade		A	A	A	A	A	A	A	A	A	A	B	C	C	F
Majority ITS2 sequence		A3	A3	A3	A3/A3ez	A4ac/A3	A3	A3	A3bt	A3ez	A3bt	B1aw	C15	C91ab	F5.1
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		8	7	6	5	2	2	2	1	1	1	1	1	1	1
ITS2 profile abundance DB		12	14	14	10	4	17	5	214	2	26	7	4	2	59
ITS2 type profile		A3-A3u	A3-A3ad-A3fb	A3/A3ah	A3/A3ez-A3ey	A4ac/A3-A4eo	A3/A3g	A3-A3fa	A3bb/A3bt	A3ez	A3bt	B1aw	C15/C15ce	C91ab	F5.1
231566	KBR7	0.979926836	0	0	0	0	0	0	0	0	0	0	0	0	0
231564	KBR5	0.966555959	0	0	0	0	0	0	0	0	0	0	0	0	0
231563	KBR4	0.962256997	0	0	0	0	0	0	0	0	0	0	0	0	0
231565	KBR6	0.958569997	0	0	0	0	0	0	0	0	0	0	0	0	0
231561	KBR2	0.949635493	0	0	0	0	0	0	0	0	0	0	0	0	0
231562	KBR3	0.946111011	0	0	0	0	0	0	0	0	0	0	0	0	0
231560	KBR1	0.938575973	0	0	0	0	0	0	0	0	0	0	0	0	0
231592	HBL5	0.652927826	0	0	0	0	0	0	0	0	0	0	0	0	0.172492056
231587	OBL7	0	0.927317349	0	0	0	0	0	0	0	0	0	0	0	0
231583	OBL3	0	0.924097043	0	0	0	0	0	0	0	0	0	0.009673141	0	0
231586	OBL6	0	0.898645035	0	0	0	0	0	0.01635764	0	0	0	0	0	0
231581	OBL1	0	0.882488479	0	0	0	0	0	0	0	0	0	0	0	0
231584	OBL4	0	0.880702004	0	0	0	0	0	0	0	0	0	0	0	0
231582	OBL2	0	0.864844534	0	0	0	0	0	0	0	0	0	0	0	0
231585	OBL5	0	0.765140677	0	0	0	0	0	0	0	0.057367668	0	0	0.018264187	0
231577	OBR4	0	0	0.981273254	0	0	0	0	0	0	0	0	0	0	0
231580	OBR7	0	0	0.978390201	0	0	0	0	0	0	0	0	0	0	0
231574	OBR1	0	0	0.974454181	0	0	0	0	0	0	0	0	0	0	0
231578	OBR5	0	0	0.96931227	0	0	0	0	0	0	0	0	0	0	0
231576	OBR3	0	0	0.967782691	0	0	0	0	0	0	0	0	0	0	0
231575	OBR2	0	0	0.966500023	0	0	0	0	0	0	0	0	0	0	0
231567	KBL1	0	0	0	0.977474008	0	0	0	0	0	0	0	0	0	0
231569	KBL3	0	0	0	0.924678777	0	0	0	0	0	0	0	0	0	0
231573	KBL7	0	0	0	0.896841164	0	0	0	0	0	0	0.018178206	0	0	0
231570	KBL4	0	0	0	0.886108089	0	0	0	0	0	0	0	0	0	0
231568	KBL2	0	0	0	0.874978939	0	0	0	0	0	0	0	0	0	0
231572	KBL6	0	0	0	0	0.895314479	0	0	0	0	0	0	0	0	0
231571	KBL5	0	0	0	0	0.824687477	0	0	0	0.086084288	0	0	0	0	0
231579	OBR6	0	0	0	0	0	0.96974103	0	0	0	0	0	0	0	0
231589	HBL2	0	0	0	0	0	0.885138516	0	0	0	0	0	0	0	0
231590	HBL3	0	0	0	0	0	0	0.876650795	0	0	0	0	0	0	0
231588	HBL1	0	0	0	0	0	0	0.858247423	0	0	0	0	0	0	0
231591	HBL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		22385-34422	22385-35231-363655	22385-36733	22385/502153-363640	699985/22385-760355	22385-22469	22385-34175	33881-22415	502153	33881	29308	517-21364	651679	62734
Average defining sequence proportions and [stdev]		0.945[0.026]-0.055[0.026]	0.908[0.048]-0.051[0.020]-0.042[0.044]	0.954[0.023]-0.046[0.023]	0.515[0.168]/0.325[0.115]-0.159[0.078]	0.658[0.319]/0.266[0.290]-0.076[0.029]	0.939[0.076]-0.061[0.076]	0.948[0.023]-0.052[0.023]	0.621[nan]-0.379[nan]	1.000[nan]	1.000[nan]	1.000[nan]	0.746[nan]-0.254[nan]	1.000[nan]	1.000[nan]
